DATE,CSUSHPISA
01-01-2000,100.551
01-02-2000,101.339
01-03-2000,102.126
01-04-2000,102.922
01-05-2000,103.677
01-06-2000,104.424
01-07-2000,105.054
01-08-2000,105.768
01-09-2000,106.538
01-10-2000,107.382
01-11-2000,108.301
01-12-2000,109.14
01-01-2001,109.846
01-02-2001,110.5
01-03-2001,111.108
01-04-2001,111.651
01-05-2001,112.163
01-06-2001,112.796
01-07-2001,113.491
01-08-2001,114.167
01-09-2001,114.811
01-10-2001,115.309
01-11-2001,115.856
01-12-2001,116.455
01-01-2002,117.143
01-02-2002,117.844
01-03-2002,118.687
01-04-2002,119.61
01-05-2002,120.723
01-06-2002,121.813
01-07-2002,122.888
01-08-2002,123.831
01-09-2002,124.78
01-10-2002,125.734
01-11-2002,126.669
01-12-2002,127.623
01-01-2003,128.461
01-02-2003,129.355
01-03-2003,130.148
01-04-2003,130.884
01-05-2003,131.735
01-06-2003,132.649
01-07-2003,133.777
01-08-2003,134.968
01-09-2003,136.294
01-10-2003,137.533
01-11-2003,138.794
01-12-2003,140.18
01-01-2004,141.646
01-02-2004,143.192
01-03-2004,145.058
01-04-2004,146.592
01-05-2004,148.185
01-06-2004,149.85
01-07-2004,151.338
01-08-2004,152.633
01-09-2004,154.179
01-10-2004,155.75
01-11-2004,157.527
01-12-2004,159.329
01-01-2005,161.288
01-02-2005,163.344
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.351
01-06-2005,171.19
01-07-2005,172.86
01-08-2005,174.442
01-09-2005,176.438
01-10-2005,178.027
01-11-2005,179.681
01-12-2005,180.91
01-01-2006,182.321
01-02-2006,183.287
01-03-2006,184.365
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.067
01-08-2006,182.593
01-09-2006,182.798
01-10-2006,183.199
01-11-2006,183.61
01-12-2006,184.139
01-01-2007,184.517
01-02-2007,184.599
01-03-2007,184.15
01-04-2007,183.01
01-05-2007,181.6
01-06-2007,180.254
01-07-2007,179.111
01-08-2007,178.116
01-09-2007,177.557
01-10-2007,176.623
01-11-2007,175.146
01-12-2007,174.341
01-01-2008,173.132
01-02-2008,171.541
01-03-2008,170.054
01-04-2008,168.339
01-05-2008,166.66
01-06-2008,165.018
01-07-2008,163.567
01-08-2008,161.988
01-09-2008,160.308
01-10-2008,158.327
01-11-2008,156.141
01-12-2008,153.618
01-01-2009,151.506
01-02-2009,150.014
01-03-2009,148.66
01-04-2009,147.949
01-05-2009,147.695
01-06-2009,148.09
01-07-2009,148.41
01-08-2009,148.277
01-09-2009,148.024
01-10-2009,147.849
01-11-2009,148.133
01-12-2009,147.928
01-01-2010,147.395
01-02-2010,145.631
01-03-2010,145.859
01-04-2010,146.402
01-05-2010,146.393
01-06-2010,145.719
01-07-2010,144.989
01-08-2010,143.913
01-09-2010,143.017
01-10-2010,142.53
01-11-2010,142.173
01-12-2010,142.059
01-01-2011,141.522
01-02-2011,140.35
01-03-2011,139.982
01-04-2011,140.009
01-05-2011,139.904
01-06-2011,139.86
01-07-2011,139.729
01-08-2011,139.307
01-09-2011,138.668
01-10-2011,137.952
01-11-2011,137.152
01-12-2011,136.675
01-01-2012,136.607
01-02-2012,136.532
01-03-2012,137.904
01-04-2012,139.155
01-05-2012,140.155
01-06-2012,141.03
01-07-2012,141.67
01-08-2012,142.28
01-09-2012,142.909
01-10-2012,143.601
01-11-2012,144.585
01-12-2012,145.502
01-01-2013,146.827
01-02-2013,147.783
01-03-2013,149.963
01-04-2013,151.518
01-05-2013,152.849
01-06-2013,154.197
01-07-2013,155.602
01-08-2013,156.965
01-09-2013,158.227
01-10-2013,159.241
01-11-2013,160.073
01-12-2013,160.993
01-01-2014,161.928
01-02-2014,162.527
01-03-2014,163.088
01-04-2014,163.396
01-05-2014,163.663
01-06-2014,164.056
01-07-2014,164.574
01-08-2014,165.218
01-09-2014,165.907
01-10-2014,166.644
01-11-2014,167.337
01-12-2014,168.053
01-01-2015,168.637
01-02-2015,169.132
01-03-2015,169.802
01-04-2015,170.301
01-05-2015,170.884
01-06-2015,171.457
01-07-2015,172.125
01-08-2015,172.938
01-09-2015,173.83
01-10-2015,174.794
01-11-2015,175.742
01-12-2015,176.548
01-01-2016,177.277
01-02-2016,177.654
01-03-2016,178.168
01-04-2016,178.77
01-05-2016,179.432
01-06-2016,180.065
01-07-2016,180.826
01-08-2016,181.854
01-09-2016,182.827
01-10-2016,183.754
01-11-2016,184.762
01-12-2016,185.723
01-01-2017,186.802
01-02-2017,187.316
01-03-2017,187.997
01-04-2017,188.733
01-05-2017,189.629
01-06-2017,190.504
01-07-2017,191.452
01-08-2017,192.683
01-09-2017,193.775
01-10-2017,194.814
01-11-2017,195.953
01-12-2017,197.159
01-01-2018,198.291
01-02-2018,199.214
01-03-2018,199.961
01-04-2018,200.668
01-05-2018,201.447
01-06-2018,202.245
01-07-2018,202.929
01-08-2018,203.734
01-09-2018,204.39
01-10-2018,205.133
01-11-2018,205.666
01-12-2018,206.114
01-01-2019,206.479
01-02-2019,206.803
01-03-2019,207.043
01-04-2019,207.538
01-05-2019,208.194
01-06-2019,208.701
01-07-2019,209.318
01-08-2019,210.183
01-09-2019,210.972
01-10-2019,211.816
01-11-2019,212.762
01-12-2019,213.843
01-01-2020,214.846
01-02-2020,215.722
01-03-2020,216.345
01-04-2020,216.87
01-05-2020,217.119
01-06-2020,217.739
01-07-2020,219.437
01-08-2020,222.537
01-09-2020,225.933
01-10-2020,229.782
01-11-2020,233.162
01-12-2020,236.345
01-01-2021,239.3
01-02-2021,242.111
01-03-2021,245.364
01-04-2021,249.184
01-05-2021,253.682
01-06-2021,258.592
01-07-2021,262.907
01-08-2021,267.069
01-09-2021,270.498
01-10-2021,273.748
01-11-2021,277.122
01-12-2021,281.127
01-01-2022,285.493
01-02-2022,290.736
01-03-2022,296.296
01-04-2022,300.829
01-05-2022,304.294
01-06-2022,305.163
01-07-2022,304.044
01-08-2022,301.712
01-09-2022,299.412
01-10-2022,298.793
01-11-2022,297.985
01-12-2022,296.952
01-01-2023,296.064
01-02-2023,296.926
01-03-2023,298.166
