DATE,MEHOINUSA646N_DPCERD3A086NBEA
01-01-2000,53771.28954
01-01-2001,53012.95571
01-01-2002,52550.12267
01-01-2003,52571.66436
01-01-2004,52501.68753
01-01-2005,53324.27828
01-01-2006,53963.18936
01-01-2007,54831.13935
01-01-2008,53329.44606
01-01-2009,52919.35107
01-01-2010,51464.79785
01-01-2011,50987.06326
01-01-2012,51017
01-01-2013,52869.15169
01-01-2014,52151.38939
01-01-2015,54808.1772
01-01-2016,56687.59842
01-01-2017,57646.10481
01-01-2018,58327.87097
01-01-2019,62495.33807
01-01-2020,61190.33695
01-01-2021,61220.7125
