DATE,DRSFRMACBS
01-01-2000,1.95
01-04-2000,1.98
01-07-2000,2.09
01-10-2000,2.23
01-01-2001,2.34
01-04-2001,2.41
01-07-2001,2.18
01-10-2001,2.26
01-01-2002,2.24
01-04-2002,2.16
01-07-2002,2.1
01-10-2002,2
01-01-2003,1.97
01-04-2003,1.83
01-07-2003,1.73
01-10-2003,1.76
01-01-2004,1.65
01-04-2004,1.6
01-07-2004,1.56
01-10-2004,1.41
01-01-2005,1.42
01-04-2005,1.55
01-07-2005,1.59
01-10-2005,1.64
01-01-2006,1.6
01-04-2006,1.62
01-07-2006,1.74
01-10-2006,1.92
01-01-2007,2.08
01-04-2007,2.29
01-07-2007,2.71
01-10-2007,3.1
01-01-2008,3.68
01-04-2008,4.36
01-07-2008,5.28
01-10-2008,6.58
01-01-2009,8.01
01-04-2009,8.57
01-07-2009,9.48
01-10-2009,10.4
01-01-2010,11.48
01-04-2010,11.08
01-07-2010,10.66
01-10-2010,10.33
01-01-2011,10.36
01-04-2011,10.55
01-07-2011,10.51
01-10-2011,10.26
01-01-2012,10.33
01-04-2012,10.45
01-07-2012,10.48
01-10-2012,10.02
01-01-2013,9.74
01-04-2013,9.32
01-07-2013,8.66
01-10-2013,8.29
01-01-2014,7.77
01-04-2014,7.43
01-07-2014,7.06
01-10-2014,6.5
01-01-2015,6.24
01-04-2015,5.82
01-07-2015,5.39
01-10-2015,5.11
01-01-2016,4.78
01-04-2016,4.59
01-07-2016,4.38
01-10-2016,4.14
01-01-2017,3.9
01-04-2017,3.68
01-07-2017,3.64
01-10-2017,3.57
01-01-2018,3.48
01-04-2018,3.22
01-07-2018,2.99
01-10-2018,2.83
01-01-2019,2.69
01-04-2019,2.6
01-07-2019,2.44
01-10-2019,2.34
01-01-2020,2.35
01-04-2020,2.54
01-07-2020,2.84
01-10-2020,2.74
01-01-2021,2.67
01-04-2021,2.48
01-07-2021,2.31
01-10-2021,2.28
01-01-2022,2.08
01-04-2022,1.96
01-07-2022,1.85
01-10-2022,1.78
01-01-2023,1.73
