DATE,Home_inventory_val,GDP,Median_House_income,New_completed_house,Inflation,MORTGAGE30US,Mortgage_default_rate,New_residential_properties,Unemployment_rate,House_price,Population(in_million)
2000-01-01,14854.5,10002.179,53771.28954,83.9,3.851771126,8.21,1.95,1727.0,4.0,100.551,281.083
2000-02-01,15218.0,10002.179,53771.28954,83.1,2.785583925,8.325,1.95,1692.0,4.1,101.339,281.299
2000-03-01,15118.3,10002.179,53771.28954,92.0,3.416808776,8.24,1.95,1651.0,4.0,102.126,281.531
2000-04-01,14878.6,10247.72,53771.28954,92.7,2.276901266,8.1525,1.98,1597.0,3.8,102.922,281.763
2000-05-01,14870.7,10247.72,53771.28954,97.4,2.853533845,8.515,1.98,1543.0,4.0,103.677,281.996
2000-06-01,14594.9,10247.72,53771.28954,104.7,3.142534503,8.288,1.98,1572.0,4.0,104.424,282.247
2000-07-01,14206.2,10318.165,53771.28954,101.9,3.436363353,8.1475,2.09,1542.0,4.0,105.054,282.504
2000-08-01,14561.7,10318.165,53771.28954,109.9,2.875700615,8.0275,2.09,1552.0,4.1,105.768,282.769
2000-09-01,14354.1,10318.165,53771.28954,106.4,3.068734234,7.912000000000001,2.09,1570.0,3.9,106.538,283.033
2000-10-01,14426.8,10435.744,53771.28954,108.6,2.701073265,7.795,2.23,1577.0,3.9,107.382,283.285
2000-11-01,14448.5,10435.744,53771.28954,105.3,2.651774,7.745,2.23,1614.0,3.9,108.301,283.523
2000-12-01,14121.0,10435.744,53771.28954,113.7,3.296461023,7.382,2.23,1543.0,3.9,109.14,283.748
2001-01-01,14468.3,10470.231,53012.95571,82.4,4.076477832,7.0325,2.34,1699.0,4.2,109.846,283.96
2001-02-01,14606.6,10470.231,53012.95571,82.9,2.836788954,7.05,2.34,1656.0,4.2,110.5,284.166
2001-03-01,14626.6,10470.231,53012.95571,93.4,2.992146605,6.952,2.34,1659.0,4.3,111.108,284.38
2001-04-01,15084.3,10599.0,53012.95571,92.6,3.144633088,7.0775,2.41,1666.0,4.4,111.651,284.602
2001-05-01,14952.3,10599.0,53012.95571,97.8,3.501116192,7.145,2.41,1665.0,4.3,112.163,284.834
2001-06-01,15249.9,10599.0,53012.95571,104.4,3.521800315,7.159999999999999,2.41,1626.0,4.5,112.796,285.076
2001-07-01,15134.7,10598.02,53012.95571,102.2,2.435041108,7.1275,2.18,1598.0,4.6,113.491,285.324
2001-08-01,15054.6,10598.02,53012.95571,110.3,3.805442846,6.95,2.18,1615.0,4.9,114.167,285.584
2001-09-01,14681.5,10598.02,53012.95571,106.2,2.782507575,6.8175,2.18,1565.0,5.0,114.811,285.842
2001-10-01,14742.2,10660.465,53012.95571,107.8,4.184076582,6.6175,2.26,1566.0,5.3,115.309,286.086
2001-11-01,14835.0,10660.465,53012.95571,105.5,3.443171412,6.6579999999999995,2.26,1651.0,5.5,115.856,286.315
2001-12-01,14967.2,10660.465,53012.95571,115.0,2.475286032,7.0649999999999995,2.26,1680.0,5.7,116.455,286.533
2002-01-01,14966.8,10783.5,52550.12267,82.6,2.761589672,6.9975,2.24,1665.0,5.7,117.143,286.739
2002-02-01,15645.6,10783.5,52550.12267,82.7,3.383524075,6.8925,2.24,1787.0,5.7,117.844,286.935
2002-03-01,15005.3,10783.5,52550.12267,93.3,2.872621423,7.014,2.24,1691.0,5.7,118.687,287.131
2002-04-01,15121.1,10887.46,52550.12267,94.0,2.676482145,6.985,2.16,1669.0,5.9,119.61,287.343
2002-05-01,15806.6,10887.46,52550.12267,98.1,2.420198438,6.806,2.16,1716.0,5.8,120.723,287.571
2002-06-01,15591.0,10887.46,52550.12267,104.4,2.502533199,6.65,2.16,1758.0,5.8,121.813,287.808
2002-07-01,15553.4,10984.04,52550.12267,101.5,2.245055231,6.485,2.1,1738.0,5.8,122.888,288.051
2002-08-01,15597.6,10984.04,52550.12267,110.3,2.285721776,6.29,2.1,1695.0,5.7,123.831,288.303
2002-09-01,15989.1,10984.04,52550.12267,107.2,2.717797898,6.0925,2.1,1803.0,5.7,124.78,288.554
2002-10-01,15679.6,11061.433,52550.12267,107.3,2.313903075,6.1125,2.0,1799.0,5.7,125.734,288.794
2002-11-01,15950.8,11061.433,52550.12267,104.6,1.910976007,6.068,2.0,1771.0,5.9,126.669,289.012
2002-12-01,16124.5,11061.433,52550.12267,115.2,3.012614285,6.0475,2.0,1896.0,6.0,127.623,289.214
2003-01-01,15931.1,11174.129,52571.66436,82.2,2.181390428,5.9159999999999995,1.97,1808.0,5.8,128.461,289.412
2003-02-01,15712.9,11174.129,52571.66436,82.3,1.975830234,5.8425,1.97,1854.0,5.9,129.355,289.606
2003-03-01,15735.2,11174.129,52571.66436,91.9,1.126211809,5.745,1.97,1757.0,5.9,130.148,289.809
2003-04-01,15832.1,11312.766,52571.66436,93.5,0.55303689,5.8125,1.83,1803.0,6.0,130.884,290.024
2003-05-01,16409.2,11312.766,52571.66436,98.9,1.075788186,5.484,1.83,1835.0,6.1,131.735,290.25
2003-06-01,16664.5,11312.766,52571.66436,105.4,1.123059635,5.23,1.83,1875.0,6.3,132.649,290.484
