per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
772,7,3,0,1,1,400
772,7,0,3,1,1,15
772,7,2,0,1,1,971
772,7,0,2,1,1,6
772,7,1,0,1,1,1375
772,7,0,1,1,1,6
772,1,3,0,1,1,503
772,1,2,0,1,1,856
772,1,1,0,1,1,1417
772,4,3,0,1,1,542
772,4,0,3,1,1,13
772,4,2,0,1,1,846
772,4,0,2,1,1,6
772,4,1,0,1,1,1401
772,4,0,1,1,1,6
772,3,3,0,1,0,147.7
772,3,0,3,1,0,8
772,3,3,0,1,1,147
772,3,2,0,1,0,140.7
772,3,0,2,1,0,6
772,3,2,0,1,1,139
772,3,1,0,1,0,292.2
772,3,0,1,1,0,5
772,3,1,0,1,1,290
772,8,3,0,1,0,30.8
772,8,0,3,1,0,15
772,8,2,0,1,0,76.4
772,8,0,2,1,0,6
772,8,1,0,1,0,107.5
772,8,0,1,1,0,6
772,2,3,0,1,0,37.8
772,2,2,0,1,0,75.1
772,2,1,0,1,0,117.6
772,5,3,0,1,0,47.2
772,5,0,3,1,0,13
772,5,2,0,1,0,78.8
772,5,0,2,1,0,6
772,5,1,0,1,0,127.1
772,5,0,1,1,0,6
772,6,3,0,1,0,966.9
772,6,0,3,1,0,5
772,6,3,0,1,1,959
772,6,2,0,1,0,689.7
772,6,0,2,1,0,3
772,6,2,0,1,1,698
772,6,1,0,1,0,1674.3
772,6,0,1,1,0,3
772,6,1,0,1,1,1675
771,7,3,0,1,1,484
771,7,0,3,1,1,15
771,7,2,0,1,1,1039
771,7,0,2,1,1,5
771,7,1,0,1,1,1534
771,7,0,1,1,1,6
771,1,3,0,1,1,556
771,1,2,0,1,1,829
771,1,1,0,1,1,1437
771,4,3,0,1,1,515
771,4,0,3,1,1,13
771,4,2,0,1,1,833
771,4,0,2,1,1,6
771,4,1,0,1,1,1371
771,4,0,1,1,1,6
771,3,3,0,1,0,161
771,3,0,3,1,0,7
771,3,3,0,1,1,157
771,3,2,0,1,0,139.9
771,3,0,2,1,0,6
771,3,2,0,1,1,133
771,3,1,0,1,0,304.4
771,3,0,1,1,0,5
771,3,1,0,1,1,293
771,8,3,0,1,0,39
771,8,0,3,1,0,15
771,8,2,0,1,0,87.4
771,8,0,2,1,0,5
771,8,1,0,1,0,127.2
771,8,0,1,1,0,6
771,2,3,0,1,0,47.2
771,2,2,0,1,0,79.4
771,2,1,0,1,0,131.3
771,5,3,0,1,0,41
771,5,0,3,1,0,13
771,5,2,0,1,0,70.8
771,5,0,2,1,0,6
771,5,1,0,1,0,113.6
771,5,0,1,1,0,6
771,6,3,0,1,0,945.3
771,6,0,3,1,0,5
771,6,3,0,1,1,943
771,6,2,0,1,0,687.3
771,6,0,2,1,0,3
