DATE,MEDCPIM158SFRBCLE
01-01-2000,3.851771126
01-02-2000,2.785583925
01-03-2000,3.416808776
01-04-2000,2.276901266
01-05-2000,2.853533845
01-06-2000,3.142534503
01-07-2000,3.436363353
01-08-2000,2.875700615
01-09-2000,3.068734234
01-10-2000,2.701073265
01-11-2000,2.651774
01-12-2000,3.296461023
01-01-2001,4.076477832
01-02-2001,2.836788954
01-03-2001,2.992146605
01-04-2001,3.144633088
01-05-2001,3.501116192
01-06-2001,3.521800315
01-07-2001,2.435041108
01-08-2001,3.805442846
01-09-2001,2.782507575
01-10-2001,4.184076582
01-11-2001,3.443171412
01-12-2001,2.475286032
01-01-2002,2.761589672
01-02-2002,3.383524075
01-03-2002,2.872621423
01-04-2002,2.676482145
01-05-2002,2.420198438
01-06-2002,2.502533199
01-07-2002,2.245055231
01-08-2002,2.285721776
01-09-2002,2.717797898
01-10-2002,2.313903075
01-11-2002,1.910976007
01-12-2002,3.012614285
01-01-2003,2.181390428
01-02-2003,1.975830234
01-03-2003,1.126211809
01-04-2003,0.55303689
01-05-2003,1.075788186
01-06-2003,1.123059635
01-07-2003,2.671073123
01-08-2003,2.357414269
01-09-2003,2.022265145
01-10-2003,2.095867494
01-11-2003,1.186362412
01-12-2003,1.798822339
01-01-2004,2.220074706
01-02-2004,2.912654553
01-03-2004,2.734402268
01-04-2004,2.538381927
01-05-2004,3.217494891
01-06-2004,2.724931449
01-07-2004,1.77113696
01-08-2004,2.873237452
01-09-2004,2.146634995
01-10-2004,2.660501094
01-11-2004,1.480066306
01-12-2004,1.915249726
01-01-2005,3.421759136
01-02-2005,3.304002291
01-03-2005,1.897179395
01-04-2005,2.096479013
01-05-2005,3.168462352
01-06-2005,1.624775389
01-07-2005,3.028645573
01-08-2005,2.222156203
01-09-2005,4.024707241
01-10-2005,3.331575156
01-11-2005,2.836911948
01-12-2005,2.204893199
01-01-2006,2.884321866
01-02-2006,2.072020874
01-03-2006,3.082182514
01-04-2006,2.887031617
01-05-2006,4.288160685
01-06-2006,3.199830835
01-07-2006,3.053930524
01-08-2006,4.621370397
01-09-2006,2.106263773
01-10-2006,3.65069704
01-11-2006,3.024699168
01-12-2006,2.725546544
01-01-2007,2.964410263
01-02-2007,4.44702564
01-03-2007,2.688531122
01-04-2007,2.368325368
01-05-2007,2.353491438
01-06-2007,3.268031737
01-07-2007,2.828170985
01-08-2007,2.184572805
01-09-2007,3.704406008
01-10-2007,3.434630521
01-11-2007,3.475359353
01-12-2007,2.982653884
01-01-2008,3.283605276
01-02-2008,2.857474363
01-03-2008,3.040485746
01-04-2008,2.241013884
01-05-2008,2.46276929
01-06-2008,4.053700895
01-07-2008,3.989128739
01-08-2008,2.940131285
01-09-2008,3.174389708
01-10-2008,2.201710242
01-11-2008,1.936253666
01-12-2008,0.363484151
01-01-2009,2.403640625
01-02-2009,2.143576057
01-03-2009,1.908289831
01-04-2009,1.861170199
01-05-2009,1.293768937
01-06-2009,0.755845909
01-07-2009,0.125832513
01-08-2009,1.625506108
01-09-2009,0.914369784
01-10-2009,1.190365419
01-11-2009,0.516016421
01-12-2009,0.46081041
